,abv,ibu,srm,style_new
473,0.08,70.0,10.0,IPA
474,0.059000000000000004,60.0,10.0,IPA
476,0.07,11.0,30.0,Porter
477,0.07,70.0,10.0,IPA
479,0.055999999999999994,36.0,7.0,Pale Ale
480,0.09300000000000001,103.0,10.0,IPA
481,0.06,54.0,45.0,Stout
482,0.06,64.0,10.0,IPA
483,0.057999999999999996,36.0,18.0,Brown Ale
484,0.055,40.0,7.0,Pale Ale
485,0.059000000000000004,55.0,10.0,IPA
486,0.054000000000000006,30.0,7.0,Pale Ale
487,0.054000000000000006,30.0,7.0,Pale Ale
491,0.052000000000000005,19.0,11.0,Lager
493,0.049,21.0,18.0,Brown Ale
494,0.055,35.0,7.0,Pale Ale
495,0.053,22.0,4.0,Blonde Ale
496,0.057,18.0,8.0,Fruit / Vegetable Beer
497,0.055999999999999994,33.0,30.0,Porter
498,0.062,60.0,10.0,IPA
499,0.057,27.0,11.0,Lager
500,0.053,22.0,4.0,Blonde Ale
501,0.055999999999999994,33.0,30.0,Porter
502,0.057,25.0,12.0,Märzen
503,0.045,36.0,18.0,Brown Ale
504,0.057,18.0,8.0,Fruit / Vegetable Beer
505,0.057,27.0,11.0,Lager
507,0.051,13.0,3.0,Witbier
508,0.075,65.0,45.0,Stout
509,0.08,66.0,45.0,Stout
510,0.055999999999999994,33.0,30.0,Porter
511,0.057,23.0,11.0,Lager
513,0.062,60.0,10.0,IPA
514,0.053,22.0,4.0,Blonde Ale
515,0.095,75.0,45.0,Stout
516,0.045,15.0,11.0,Lager
517,0.045,15.0,11.0,Lager
518,0.052000000000000005,49.0,7.0,Pale Ale
519,0.05,5.0,8.0,Fruit / Vegetable Beer
520,0.07,22.0,18.0,Brown Ale
521,0.048,20.0,11.0,Lager
522,0.05,30.0,12.0,Red Ale
523,0.055,10.0,3.0,Witbier
524,0.054000000000000006,30.0,12.0,Red Ale
525,0.053,48.0,7.0,Pale Ale
527,0.07,22.0,18.0,Brown Ale
528,0.07,70.0,10.0,IPA
529,0.059000000000000004,25.0,12.0,Märzen
